Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Kenya,United Arab Emirates,2008,EXPIMP,Agricultural Raw Materials,5395.45,2127.11,4.91,0.13,7.19,6.06,9.4,5.67,34.35,15,26.67,66.67,0,6.67,45,0,0,1617,494.44,5.67,34.35,15,26.67,66.67,0,6.67,45,0,0,1617,494.44
Kenya,Australia,2008,EXPIMP,Agricultural Raw Materials,2636.41,1209.6,38.96,6.01,36.87,5.46,10.73,11,42.43,5,20,60,0,20,45,0,0,1144.97,64.63,11,42.43,5,20,60,0,20,45,0,0,1144.97,64.63
Kenya,Austria,2008,EXPIMP,Agricultural Raw Materials,3816.68,118.78,92.67,0.71,4.39,1.88,-11.57,13.33,0.65,6,16.67,66.67,0,16.67,45,0,0,3.45,115.33,13.33,0.65,6,16.67,66.67,0,16.67,45,0,0,3.45,115.33
Kenya,Burundi,2008,EXPIMP,Agricultural Raw Materials,31.23,1115.45,0.06,98.81,0.1,14.5,-50.15,0,0,5,0,100,0,0,0,0,0,0,1115.45,17,10.05,5,80,0,0,20,45,10,0,1115.45,0
Kenya,Belgium,2008,EXPIMP,Agricultural Raw Materials,937.68,1354.81,2.29,1.13,26.83,-0.22,10.15,10.83,37.38,6,33.33,50,0,16.67,45,0,0,1315.21,39.6,10.83,37.38,6,33.33,50,0,16.67,45,0,0,1315.21,39.6
Kenya,Bangladesh,2008,EXPIMP,Agricultural Raw Materials,80.22,1.98,2.37,0.08,,,,27.5,29.12,2,50,0,0,50,45,10,0,1.98,0,27.5,29.12,2,50,0,0,50,45,10,0,1.98,0
Kenya,Bulgaria,2008,EXPIMP,Agricultural Raw Materials,13.7,30.53,8.01,0.81,11.05,7.97,16.63,45,45,1,0,0,0,100,45,45,0,30.53,0,45,45,1,0,0,0,100,45,45,0,30.53,0
Kenya,Brazil,2008,EXPIMP,Agricultural Raw Materials,0.04,1004.85,0,1.48,,,,0,0,5,0,100,0,0,0,0,0,0,1004.85,0,0,5,0,100,0,0,0,0,0,0,1004.85
Kenya,Botswana,2008,EXPIMP,Agricultural Raw Materials,0,0.06,,0.11,0.01,13.17,-4.75,45,45,1,0,0,0,100,45,45,0,0.06,0,45,45,1,0,0,0,100,45,45,0,0.06,0
Kenya,Canada,2008,EXPIMP,Agricultural Raw Materials,691.64,11678.7,6.41,17.8,6.08,0.07,9.91,13,44.63,5,40,40,0,20,45,0,0,11636.15,42.55,13,44.63,5,40,40,0,20,45,0,0,11636.15,42.55
